START;END;TYPE
12/09/22;17/09/22;A
19/09/22;24/09/22;B
26/09/22;01/10/22;A
03/10/22;08/10/22;B
10/10/22;15/10/22;A
17/10/22;22/10/22;B
24/10/22;29/10/22;A
07/11/22;12/11/22;B
14/11/22;19/11/22;A
21/11/22;26/11/22;B
28/11/22;03/12/22;A
05/12/22;10/12/22;B
12/12/22;17/12/22;A
02/01/23;07/01/23;A
