START;END;TYPE
13/09/21;18/09/21;A
20/09/21;25/09/21;B
27/09/21;03/10/21;A
04/10/21;09/10/21;B
11/10/21;16/10/21;A
18/10/21;23/10/21;B
25/10/21;30/10/21;A
08/11/21;13/11/21;B
15/11/21;20/11/21;A
22/11/21;27/11/21;B
29/11/21;04/12/21;A
06/12/21;11/12/21;B
13/12/21;18/12/21;A
03/01/22;03/01/22;B
04/01/22;05/01/22;A
06/01/22;06/01/22;B
07/01/22;07/01/22;A
