START;END;TYPE
28/02/22;06/03/22;A
07/03/22;13/03/22;B
14/03/22;20/03/22;A
21/03/22;27/03/22;B
28/03/22;03/04/22;A
04/04/22;10/04/22;B
11/04/22;17/04/22;A
25/04/22;01/05/22;B
02/05/22;08/05/22;A
09/05/22;15/05/22;B
16/05/22;22/05/22;A
23/05/22;29/05/22;B
30/05/22;05/06/22;A
06/06/22;12/06/22;B
13/06/22;19/06/22;A
20/06/22;26/06/22;B
